session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
G_s4_tbr_single_2026-08-19_1787152096,2026-08-19,G,,single,tbr,,steering,1,17,rest,rest,right,0.096689,0.500108,1,,1,0.817231,68.43823,6.204541,0.192483,3.0
G_s4_tbr_single_2026-08-19_1787152096,2026-08-19,G,,single,tbr,,steering,1,18,rest,attention,left,0.117625,0.500412,-1,0,1,0.569548,106.20241,11.031587,0.174883,3.0
G_s4_tbr_single_2026-08-19_1787152096,2026-08-19,G,,single,tbr,,steering,1,19,rest,rest,right,0.261106,0.503128,1,,1,0.574786,43.752403,4.079892,0.24828,4.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,0,rest,attention,left,0.436229,0.58791,-1,1,1,0.844512,90.327197,6.179756,0.188958,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,1,rest,rest,right,0.010107,0.5,-1,,1,0.870077,223.50073,9.954212,0.143553,4.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,2,rest,attention,right,0.0,0.5,-1,0,1,0.794051,1282.75858,19.877608,0.074805,3.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,3,rest,rest,left,0.002584,0.5,-1,,1,0.880795,1732.287541,9.699415,0.155796,4.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,4,rest,attention,left,0.591293,0.605923,-1,1,1,0.844488,29.684532,7.366429,0.17818,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,5,rest,rest,right,0.556747,0.555937,-1,,1,0.827231,80.163651,5.414263,0.259075,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,6,rest,attention,right,0.314642,0.529073,1,1,1,0.864711,44.318698,11.15197,0.197047,2.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,7,rest,rest,left,0.108298,0.5052,1,,1,0.878077,11718.244654,11.450064,0.098095,4.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,8,rest,attention,left,0.301541,0.563779,-1,1,1,0.875714,71.470041,8.53435,0.175475,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,9,rest,rest,right,0.4666,0.540798,1,,1,0.874077,26.767965,6.575021,0.155079,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,10,rest,attention,right,0.780921,0.636021,1,1,1,0.909237,47.88343,6.314006,0.205219,2.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,11,rest,rest,left,0.177594,0.502186,-1,,1,0.84815,326.481306,6.4325,0.152681,2.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,12,rest,attention,left,0.423588,0.589354,-1,1,1,0.892,69.531026,6.859241,0.191099,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,13,rest,rest,right,0.314171,0.526172,1,,1,0.818128,34.406952,5.712126,0.175451,2.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,14,rest,attention,right,0.887382,0.689444,1,1,1,0.8505,16.080113,6.848118,0.180722,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,15,rest,rest,left,0.173623,0.50101,1,,0,0.903821,36.085189,4.584928,0.175541,0.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,16,rest,attention,left,0.528013,0.576465,-1,1,1,0.831884,31.094092,10.637611,0.170572,1.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,17,rest,rest,right,0.212602,0.507243,-1,,0,0.889,35.5396,4.105897,0.203439,0.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,18,rest,attention,left,0.803309,0.664566,-1,1,0,0.794579,17.397749,4.423725,0.24461,0.0
G_s5_alpha_single_2026-08-20_1787212832,2026-08-20,G,,single,alpha,,steering,1,19,rest,rest,right,0.241011,0.501072,1,,1,0.803333,1520.825692,7.274776,0.159852,2.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,0,rest,attention,left,0.16198,0.512012,-1,1,0,0.727605,26.941176,4.061621,0.264643,0.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,1,rest,rest,right,0.269057,0.503644,-1,,1,0.78,1204.888305,3.567272,0.257863,2.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,2,rest,attention,right,0.709243,0.620576,1,1,1,0.742419,11.712743,1.8552,0.442173,1.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,3,rest,rest,left,0.221024,0.520384,-1,,1,0.767674,320.915703,3.861109,0.25903,3.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,4,rest,attention,left,0.589928,0.585483,-1,1,0,0.762949,54.470016,2.19282,0.409961,0.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,5,rest,rest,right,0.081651,0.500642,1,,1,0.76441,52.570633,4.375174,0.21674,3.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,6,rest,attention,right,0.666332,0.634477,1,1,0,0.71219,84.519481,2.06015,0.425155,0.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,7,rest,rest,left,0.071272,0.500813,1,,1,0.712395,161.403876,5.596947,0.184848,3.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,8,rest,attention,left,0.272847,0.514203,-1,0,1,0.733513,62.452342,4.630549,0.291896,4.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,9,rest,rest,right,0.104655,0.507659,-1,,1,0.752923,20632.185665,6.750668,0.174326,4.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,10,rest,attention,right,0.458283,0.581024,1,1,1,0.7095,42.481055,2.733671,0.368709,1.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,11,rest,rest,left,0.037612,0.5,-1,,1,0.801884,2289.201139,72.201596,0.035572,8.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,12,rest,attention,left,0.143704,0.510531,1,1,1,0.796949,111.037219,6.880547,0.227864,1.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,13,rest,rest,right,0.0,0.5,-1,,1,0.821103,595.983892,10.870216,0.133555,5.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,14,rest,attention,right,0.294828,0.535623,1,1,1,0.784233,73.245545,3.498087,0.289594,2.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,15,rest,rest,left,0.155129,0.531004,1,,1,0.739279,536.775582,35.253197,0.152321,5.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,16,rest,attention,left,0.101531,0.512886,1,1,1,0.791308,414.540228,7.350988,0.207237,2.0
G_s6_tbr_single_2026-08-20_1787215014,2026-08-20,G,,single,tbr,,steering,1,17,rest,rest,right,0.005937,0.5,-1,,1,0.785316,7821.999627,57.923588,0.213185,4.0
